Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.61,0.9099999999999999,0.33562109144151014
75% Corpus,4,0.61,symmetric,0.34986090756262594
75% Corpus,4,0.9099999999999999,0.01,0.3721748335695799
75% Corpus,4,0.9099999999999999,0.31,0.377230078179332
75% Corpus,4,0.9099999999999999,0.61,0.37945224089682006
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3964588666895903
75% Corpus,4,0.9099999999999999,symmetric,0.38870202035739393
75% Corpus,4,symmetric,0.01,0.3296029205292811
75% Corpus,4,symmetric,0.31,0.33796309485944775
75% Corpus,4,symmetric,0.61,0.31543966629599873
75% Corpus,4,symmetric,0.9099999999999999,0.4086469877255623
75% Corpus,4,symmetric,symmetric,0.34591413997091314
75% Corpus,4,asymmetric,0.01,0.38454521726744134
75% Corpus,4,asymmetric,0.31,0.5532183742765876
75% Corpus,4,asymmetric,0.61,0.4924669951088179
75% Corpus,4,asymmetric,0.9099999999999999,0.5022361084783529
75% Corpus,4,asymmetric,symmetric,0.5389443160806167
75% Corpus,5,0.01,0.01,0.30360789884125783
75% Corpus,5,0.01,0.31,0.33327785883600897
75% Corpus,5,0.01,0.61,0.32802615205898167
75% Corpus,5,0.01,0.9099999999999999,0.5189489650591177
75% Corpus,5,0.01,symmetric,0.33280013046050144
75% Corpus,5,0.31,0.01,0.350338039853217
75% Corpus,5,0.31,0.31,0.32959499191426317
75% Corpus,5,0.31,0.61,0.32031890565394744
75% Corpus,5,0.31,0.9099999999999999,0.3945464474975377
75% Corpus,5,0.31,symmetric,0.3429074561857358
75% Corpus,5,0.61,0.01,0.34239230838033374
75% Corpus,5,0.61,0.31,0.34645412446864177
75% Corpus,5,0.61,0.61,0.40171206108066126
75% Corpus,5,0.61,0.9099999999999999,0.40502101015653835
75% Corpus,5,0.61,symmetric,0.3399795115291669
75% Corpus,5,0.9099999999999999,0.01,0.36016726277688116
75% Corpus,5,0.9099999999999999,0.31,0.3709206114996319
75% Corpus,5,0.9099999999999999,0.61,0.41562559551310524
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.37840336701903654
75% Corpus,5,0.9099999999999999,symmetric,0.37196062368305755
75% Corpus,5,symmetric,0.01,0.3585252067089336
75% Corpus,5,symmetric,0.31,0.3187763518300352
75% Corpus,5,symmetric,0.61,0.31807033185401695
75% Corpus,5,symmetric,0.9099999999999999,0.3845230470743316
75% Corpus,5,symmetric,symmetric,0.3372482653217187
75% Corpus,5,asymmetric,0.01,0.38679446227800857
75% Corpus,5,asymmetric,0.31,0.4536019024847876
75% Corpus,5,asymmetric,0.61,0.41468345816981617
75% Corpus,5,asymmetric,0.9099999999999999,0.4404391925428416
75% Corpus,5,asymmetric,symmetric,0.44031587242441006
75% Corpus,6,0.01,0.01,0.328478113870826
75% Corpus,6,0.01,0.31,0.36236095571712884
75% Corpus,6,0.01,0.61,0.42910838908670673
75% Corpus,6,0.01,0.9099999999999999,0.4744214856513016
75% Corpus,6,0.01,symmetric,0.3486097038384432
75% Corpus,6,0.31,0.01,0.3352806192700515
75% Corpus,6,0.31,0.31,0.39670759168622566
75% Corpus,6,0.31,0.61,0.3150166168796316
75% Corpus,6,0.31,0.9099999999999999,0.3683386055091998
75% Corpus,6,0.31,symmetric,0.3489332742102864
75% Corpus,6,0.61,0.01,0.37935165659071624
75% Corpus,6,0.61,0.31,0.40253517710642067
75% Corpus,6,0.61,0.61,0.410179846863666
75% Corpus,6,0.61,0.9099999999999999,0.41288009089141725
75% Corpus,6,0.61,symmetric,0.3950233023428636
75% Corpus,6,0.9099999999999999,0.01,0.3784279115084692
75% Corpus,6,0.9099999999999999,0.31,0.41743972864233747
75% Corpus,6,0.9099999999999999,0.61,0.413786540883792
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.5110751333631639
75% Corpus,6,0.9099999999999999,symmetric,0.38302617967040287
75% Corpus,6,symmetric,0.01,0.3436859008091795
75% Corpus,6,symmetric,0.31,0.33255744930647996
75% Corpus,6,symmetric,0.61,0.3946216557087583
75% Corpus,6,symmetric,0.9099999999999999,0.5872964248820612
75% Corpus,6,symmetric,symmetric,0.3157454643984959
75% Corpus,6,asymmetric,0.01,0.3759952984782798
75% Corpus,6,asymmetric,0.31,0.478594029252743
75% Corpus,6,asymmetric,0.61,0.4653242581760985
75% Corpus,6,asymmetric,0.9099999999999999,0.46266618396781983
75% Corpus,6,asymmetric,symmetric,0.49594991807036776
75% Corpus,7,0.01,0.01,0.39402004255118994
75% Corpus,7,0.01,0.31,0.4746308990579268
75% Corpus,7,0.01,0.61,0.4918404044049737
75% Corpus,7,0.01,0.9099999999999999,0.4924024525240051
75% Corpus,7,0.01,symmetric,0.430401449326134
75% Corpus,7,0.31,0.01,0.37782792188557934
75% Corpus,7,0.31,0.31,0.4591628689779519
75% Corpus,7,0.31,0.61,0.4397076869105276
75% Corpus,7,0.31,0.9099999999999999,0.48087643717564543
75% Corpus,7,0.31,symmetric,0.43306792394782373
75% Corpus,7,0.61,0.01,0.45808323775269183
75% Corpus,7,0.61,0.31,0.4791344815462444
75% Corpus,7,0.61,0.61,0.4916514615724366
75% Corpus,7,0.61,0.9099999999999999,0.45023977299723544
75% Corpus,7,0.61,symmetric,0.45307176297584945
75% Corpus,7,0.9099999999999999,0.01,0.42146506472788425
75% Corpus,7,0.9099999999999999,0.31,0.4973218741295832
75% Corpus,7,0.9099999999999999,0.61,0.49940582420234936
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.505165818064275
75% Corpus,7,0.9099999999999999,symmetric,0.4913193726682391
75% Corpus,7,symmetric,0.01,0.3528491760913319
75% Corpus,7,symmetric,0.31,0.46093278017103273
75% Corpus,7,symmetric,0.61,0.4978152602122865
75% Corpus,7,symmetric,0.9099999999999999,0.46874495470463706
75% Corpus,7,symmetric,symmetric,0.4211253543170183
75% Corpus,7,asymmetric,0.01,0.3262535156264561
75% Corpus,7,asymmetric,0.31,0.45892209271603884
75% Corpus,7,asymmetric,0.61,0.5134413759653463
75% Corpus,7,asymmetric,0.9099999999999999,0.5629084160886776
75% Corpus,7,asymmetric,symmetric,0.41813894963511483
75% Corpus,8,0.01,0.01,0.3996157246691052
75% Corpus,8,0.01,0.31,0.4235815822646328
75% Corpus,8,0.01,0.61,0.4312013413470252
