Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.31,0.4023732084165154
100% Corpus,9,0.31,0.61,0.4656204787660197
100% Corpus,9,0.31,0.9099999999999999,0.502020301216721
100% Corpus,9,0.31,symmetric,0.48273094700928304
100% Corpus,9,0.61,0.01,0.4491203759600475
100% Corpus,9,0.61,0.31,0.4656839952294983
100% Corpus,9,0.61,0.61,0.45224794974756727
100% Corpus,9,0.61,0.9099999999999999,0.44754901972702565
100% Corpus,9,0.61,symmetric,0.4709243844999987
100% Corpus,9,0.9099999999999999,0.01,0.46180839472571794
100% Corpus,9,0.9099999999999999,0.31,0.47246053235999497
100% Corpus,9,0.9099999999999999,0.61,0.47388393798625916
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.4391783324352995
100% Corpus,9,0.9099999999999999,symmetric,0.47115225805318034
100% Corpus,9,symmetric,0.01,0.4157191342175163
100% Corpus,9,symmetric,0.31,0.44892329669543124
100% Corpus,9,symmetric,0.61,0.47529015217577864
100% Corpus,9,symmetric,0.9099999999999999,0.5060978242416523
100% Corpus,9,symmetric,symmetric,0.4655553081035441
100% Corpus,9,asymmetric,0.01,0.36051733919378487
100% Corpus,9,asymmetric,0.31,0.4510446951670788
100% Corpus,9,asymmetric,0.61,0.4711729966566999
100% Corpus,9,asymmetric,0.9099999999999999,0.5573084824289558
100% Corpus,9,asymmetric,symmetric,0.4323845745903083
100% Corpus,10,0.01,0.01,0.38277799924629485
100% Corpus,10,0.01,0.31,0.39928777312248365
100% Corpus,10,0.01,0.61,0.46000600151820625
100% Corpus,10,0.01,0.9099999999999999,0.4727123334490992
100% Corpus,10,0.01,symmetric,0.4131662697727602
100% Corpus,10,0.31,0.01,0.41297991193554795
100% Corpus,10,0.31,0.31,0.44477893576769756
100% Corpus,10,0.31,0.61,0.4716315089155362
100% Corpus,10,0.31,0.9099999999999999,0.4790096840248813
100% Corpus,10,0.31,symmetric,0.4549165860203955
100% Corpus,10,0.61,0.01,0.4444019338489647
100% Corpus,10,0.61,0.31,0.4505375894839191
100% Corpus,10,0.61,0.61,0.4439742626540359
100% Corpus,10,0.61,0.9099999999999999,0.4773579747380309
100% Corpus,10,0.61,symmetric,0.4597895469099192
100% Corpus,10,0.9099999999999999,0.01,0.41214535307177974
100% Corpus,10,0.9099999999999999,0.31,0.4626357279603874
100% Corpus,10,0.9099999999999999,0.61,0.4539581874858305
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.4248205341346618
100% Corpus,10,0.9099999999999999,symmetric,0.46119472809196926
100% Corpus,10,symmetric,0.01,0.4015892723533085
100% Corpus,10,symmetric,0.31,0.4028918043156068
100% Corpus,10,symmetric,0.61,0.45772808137173043
100% Corpus,10,symmetric,0.9099999999999999,0.4633102129399845
100% Corpus,10,symmetric,symmetric,0.40335994384809865
100% Corpus,10,asymmetric,0.01,0.3598822935273403
100% Corpus,10,asymmetric,0.31,0.42570498435425463
100% Corpus,10,asymmetric,0.61,0.45532635845886993
100% Corpus,10,asymmetric,0.9099999999999999,0.4654481556966957
100% Corpus,10,asymmetric,symmetric,0.36765093927538883
